bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"2014A&A...562A.135S",1,,90444,,,278.0,,,0
"2014A&A...562A.135S",2,,225084,,,48.0,,,0
"2014A&A...562A.135S",1,,225084,,,53.0,,,0
"2014A&A...562A.135S",1,,2953900,,,334.0,,,0
"2014A&A...562A.135S",1,,5475355,,,41.0,,,0
"2014A&A...562A.135S",2,,90053,,,41.0,,,0
"2014A&A...562A.135S",1,,90053,,,37.0,,,0
"2014A&A...562A.135S",1,,1744655,,,380.0,,,0
"2014A&A...562A.135S",2,,240462,,,35.0,,,0
"2014A&A...562A.135S",4,,136409,,,51.0,,,0
"2012AJ....144..158M",6,,173555,D,,67.0,11.0,0,0
"2014A&A...562A.135S",3,,225955,,,132.0,,,0
"2014A&A...562A.135S",4,,722145,,,32.0,,,0
"2014A&A...562A.135S",3,,722145,,,34.0,,,0
"2014A&A...562A.135S",3,,741842,,,35.0,,,0
"2014A&A...562A.135S",2,,783935,,,48.0,,,0
"2014A&A...562A.135S",4,,786001,,,11.0,,,0
"2014A&A...562A.135S",3,,786001,,,7.0,,,0
"2014A&A...562A.135S",4,,786003,,,8.0,,,0
"2014A&A...562A.135S",3,,786003,,,4.0,,,0
"2014A&A...562A.135S",4,,792720,,,176.0,,,0
"2014A&A...562A.135S",3,,792720,,,168.0,,,0
"2014A&A...562A.135S",4,,811526,,,11.0,,,0
"2014A&A...562A.135S",3,,811526,,,9.0,,,0
"2014A&A...562A.135S",3,,837941,,,140.0,,,0
"2014A&A...562A.135S",3,,886426,,,26.0,,,0
"2014A&A...562A.135S",3,,894387,,,60.0,,,0
"2014A&A...562A.135S",2,,946512,,,86.0,,,0
"2014A&A...562A.135S",3,,2377579,,,113.0,,,0
"2014A&A...562A.135S",3,,2529099,,,67.0,,,0
"2014A&A...562A.135S",3,,2509131,,,106.0,,,0
"2014A&A...562A.135S",4,,2515147,,,33.0,,,0
"2014A&A...562A.135S",3,,2516425,,,55.0,,,0
"2014A&A...562A.135S",4,,2535928,,,42.0,,,0
"2014A&A...562A.135S",3,,2535928,,,38.0,,,0
"2014A&A...562A.135S",3,,3759161,,,91.0,,,0
"2014A&A...562A.135S",4,,2871698,,,55.0,,,0
"2014A&A...562A.135S",2,,2903445,,,154.0,,,0
"2014A&A...562A.135S",2,,195259,,,94.0,,,0
"2014A&A...562A.135S",4,,2929357,,,45.0,,,0
"2014A&A...562A.135S",3,,2929357,,,40.0,,,0
"2014A&A...562A.135S",2,,198235,,,15.0,,,0
"2014A&A...562A.135S",4,,1583162,,,61.0,,,0
"2014A&A...562A.135S",4,,156345,,,13.0,,,0
"2014A&A...562A.135S",3,,156345,,,11.0,,,0
"2018A&A...620A..56B",1,,4042810,,,240.0,,32767,0
"2018A&A...620A..56B",1,,56313,,,175.0,,32767,0
"2017MNRAS.466.3077M",1,,12493472,E,,50.0,,32767,0
"2014A&A...562A.135S",4,,991599,,,115.0,,,0
"2014A&A...562A.135S",4,,171832,,,79.0,,,0
"2014A&A...562A.135S",1,,335791,,,338.0,,,0
"2014A&A...562A.135S",5,,114278,,,41.0,,,0
"2006ApJ...648..580H",1,,133892,D,,182.0,10.0,0,0
"2009ApJ...700.1216M",1,,3237086,,,83.0,9.0,0,0
"2014A&A...562A.135S",2,,2515688,,,241.0,,,0
"2014A&A...562A.135S",1,,2515688,,,229.0,,,0
"2014A&A...562A.135S",1,,104496,,,132.0,,,0
"2014A&A...562A.135S",1,,800617,,,48.0,,,0
"2009A&A...496..841H",1,,3743379,,,86.0,,,0
"2008A&A...479..541H",2,,3743379,,,86.0,,,0
"2009A&A...496..841H",1,,5367621,,,17.0,,,0
"2008A&A...479..541H",2,,5367621,,,17.0,,,0
"2008A&A...479..541H",1,,4496071,,,188.0,,,0
"1970CoAsi.239....1B",1,30,2929285,D,,50.0,,,0
"2006ApJ...648..580H",1,,3203845,D,,134.0,12.0,0,0
"2006PASP..118.1656S",1,14,2092668,,,3.1,,,1
"2007A&A...462..683M",1,,6267972,,,180.0,27.0,0,0
"2006ApJ...648..580H",1,,175897,D,,165.0,8.0,0,0
"2002A&A...393..897R",2,,2952107,D,,26.0,,,0
"2002A&A...393..897R",3,,2952107,D,,26.0,,,0
"1970CoAsi.239....1B",5,10,2952107,D,,120.0,,,0
"2002ApJ...573..359A",1,,2952107,D,,30.0,,,0
"2008A&A...479..541H",2,,3259934,,,125.0,,,0
"2009A&A...496..841H",1,,3259934,,,125.0,,,0
"2006A&A...460..695T",1,,5131407,C,,14.0,1.2,1,1
"2009ApJ...700.1216M",1,,2316233,,,176.0,10.0,0,0
"2011A&A...531A...8J",1,,3214554,,,3.0,,,1
"1970CoAsi.239....1B",1,5,3759688,D,,60.0,,,0
"1995ApJS...99..135A",3,,1411575,D,,50.0,,,0
